ID,Date Added,Business Name,Sector,Lead Type,Contact Name,Email,Phone,Website,Location,Status,Initial Email Sent,Follow-up Due,Follow-up Sent,Notes
001,2026-04-01,The Woodmans Arms,Retail & Hospitality,Business,,info@thewoodmansarms.com,0191 488 8998,thewoodmansarms.com,"Whickham, Newcastle upon Tyne, NE16 5BB",New,,,,"Award-winning family-owned gastropub. 5-star inn. Active social media presence. Strong candidate for AI tools to manage bookings, marketing and social content."
002,2026-04-01,O'Reilly Chartered Accountants,Professional Services,Business,,admin@oreillyhawes.co.uk,01969 667428,o-reilly.co.uk,"Hawes & Leyburn, North Yorkshire",New,,,,"Long-established firm serving SMEs in North Yorkshire. Two offices. Ideal for AI training on document drafting, client comms and automation of routine tasks."
003,2026-04-01,Newtons Solicitors,Professional Services,Business,,info@newtons.co.uk,01325 250111,newtons.co.uk,"Darlington, DL3 7EH (+ 9 regional offices)",New,,,,"Regional solicitors firm across Yorkshire, Teesside and County Durham. 10 offices. Significant opportunity around AI adoption for document review and client comms."
004,2026-04-01,Wasley Chapman Chartered Accountants,Professional Services,Business,Emma Henderson,emma.henderson@wasley-chapman.co.uk,01723 501777,wasley-chapman.co.uk,"Middlesbrough / Scarborough / Whitby / Saltburn",New,,,,"Founded 1918 — one of the leading accountancy firms in the area. 4 offices. Contact: Emma Henderson. Opportunity for AI workflow training and digital productivity."
005,2026-04-01,F E Metcalfe & Co,Professional Services,Business,,info@femetcalfe.co.uk,01765 604215,femetcalfe.co.uk,"4 Old Market Place, Ripon, North Yorkshire, HG4 1EQ",New,,,,"Long-established chartered accountants in Ripon. SME-focused. Strong candidate for AI readiness assessment and hands-on training with Copilot and ChatGPT."
006,2026-04-01,Newburn Dental Surgery,Healthcare & Social Care,Business,,reception@newburndentalsurgery.co.uk,0191 267 5910,newburndentalsurgery.co.uk,"1-3 High Street, Newburn, Newcastle, NE15 8LN",New,,,,"Independent NHS & private dental practice in Newcastle. Opportunity for AI tools to manage patient comms, appointment scheduling automation and admin efficiency."
007,2026-04-01,Lynwood Dental (Fulwell & Prudhoe),Healthcare & Social Care,Business,,hello@lynwood.dental,0191 548 8175,lynwood.dental,"Fulwell, Sunderland & Prudhoe, Northumberland",New,,,,"Multi-site independent dental group across NE England. Operated by Lynwood Healthcare Ltd. Opportunity around AI-driven patient admin, no-show reduction and marketing."
008,2026-04-01,Westmount Dental Surgery,Healthcare & Social Care,Business,,enquiries@westmountdentalsurgery.co.uk,01642 850011,westmountdentalsurgery.co.uk,"Sunderland / Jarrow / Middlesbrough / Wynyard / Ferryhill",New,,,,"Multi-location independent dental group with 5 sites. Strong candidate for AI adoption across patient management, marketing automation and digital workflows."
009,2026-04-01,No. 21 York,Retail & Hospitality,Business,,info@no21york.co.uk,01904 655444,no21york.co.uk,"York City Centre, North Yorkshire",New,,,,"Independent boutique B&B with 6 rooms close to York city centre. Owner-operated. Opportunity for AI tools to manage guest comms, reviews, OTA optimisation and social media."
010,2026-04-01,Ian Walker & Co,Professional Services,Business,,info@ianwalkerandco.co.uk,01904 654111,ianwalkerandco.co.uk,"York, North Yorkshire",New,,,,"Independent accountancy firm in York advising start-ups to established SMEs. Strong fit for AI training on Copilot, ChatGPT and digital workflow improvement."
